#ID	gene_id
gp_0220	ENSG00000130702
gp_0221	ENSG00000130702
gp_0222	ENSG00000130702
gp_0223	ENSG00000130702
gp_0224	ENSG00000130702
gp_0225	ENSG00000130702
gp_0226	ENSG00000130702
gp_0227	ENSG00000130702
gp_0228	ENSG00000130702
gp_0229	ENSG00000130702
gp_0230	ENSG00000130702
gp_0231	ENSG00000130702
gp_0232	ENSG00000130702
gp_0233	ENSG00000130702
gp_0234	ENSG00000130702
gp_0235	ENSG00000130702
gp_0236	ENSG00000130702
gp_0237	ENSG00000130702
gp_0238	ENSG00000130702
gp_0239	ENSG00000130702
gp_0240	ENSG00000130702
gp_0241	ENSG00000130702
gp_0242	ENSG00000130702
gp_0246	ENSG00000100353
gp_0247	ENSG00000154654
gp_0248	ENSG00000154654
gp_0249	ENSG00000154654
gp_0250	ENSG00000154654
gp_0251	ENSG00000154654
gp_0252	ENSG00000154654
gp_0253	ENSG00000154654
gp_0254	ENSG00000154654
gp_0255	ENSG00000154654
gp_0256	ENSG00000154654
gp_0257	ENSG00000154654
gp_0258	ENSG00000154654
gp_0259	ENSG00000154654
gp_0260	ENSG00000154654
gp_0261	ENSG00000154654
gp_0262	ENSG00000154654
gp_0263	ENSG00000154654
gp_0264	ENSG00000154654
gp_0265	ENSG00000154654
gp_0266	ENSG00000154654
gp_0267	ENSG00000154654
gp_0268	ENSG00000154654
gp_0269	ENSG00000154654
gp_0270	ENSG00000154654
gp_0272	ENSG00000124942
gp_0273	ENSG00000185070
gp_0274	ENSG00000185070
gp_0275	ENSG00000164050
gp_0276	ENSG00000164050
gp_0277	ENSG00000164050
gp_0278	ENSG00000164050
gp_0279	ENSG00000177511
gp_0280	ENSG00000177511
gp_0281	ENSG00000177511
gp_0282	ENSG00000177511
gp_0283	ENSG00000108344
gp_0284	ENSG00000165868
gp_0285	ENSG00000165868
gp_0286	ENSG00000159082
gp_0287	ENSG00000079819
gp_0288	ENSG00000152291
gp_0289	ENSG00000174684
gp_0290	ENSG00000174684
gp_0291	ENSG00000174684
gp_0292	ENSG00000174684
gp_0293	ENSG00000174684
gp_0294	ENSG00000174684
gp_0298	ENSG00000127990
gp_0299	ENSG00000127990
gp_0300	ENSG00000127990
gp_0301	ENSG00000127990
gp_0302	ENSG00000127990
gp_0303	ENSG00000127990
gp_0304	ENSG00000130402
gp_0305	ENSG00000130402
gp_0306	ENSG00000130402
gp_0307	ENSG00000072110
gp_0308	ENSG00000072110
gp_0309	ENSG00000100321
gp_0310	ENSG00000101365
gp_0311	ENSG00000128595
gp_0312	ENSG00000128595
gp_0313	ENSG00000128595
gp_0314	ENSG00000128595
gp_0315	ENSG00000168710
gp_0316	ENSG00000121753
gp_0317	ENSG00000121753
gp_0318	ENSG00000121753
gp_0319	ENSG00000135298
gp_0320	ENSG00000169851
gp_0321	ENSG00000169851
gp_0322	ENSG00000198836
gp_0323	ENSG00000198836
gp_0324	ENSG00000198836
gp_0325	ENSG00000198836
gp_0326	ENSG00000198836
gp_0327	ENSG00000078725
gp_0328	ENSG00000078725
gp_0329	ENSG00000078725
gp_0330	ENSG00000136040
gp_0331	ENSG00000136040
gp_0332	ENSG00000136040
gp_0333	ENSG00000136040
gp_0334	ENSG00000136040
gp_0335	ENSG00000136040
gp_0336	ENSG00000136040
gp_0337	ENSG00000136040
gp_0338	ENSG00000136040
gp_0339	ENSG00000136040
gp_0340	ENSG00000136040
gp_0341	ENSG00000136040
gp_0342	ENSG00000136040
gp_0343	ENSG00000136040
gp_0344	ENSG00000136040
gp_0345	ENSG00000106397
gp_0346	ENSG00000140391
gp_0347	ENSG00000009413
gp_0348	ENSG00000007237
gp_0351	ENSG00000076356
gp_0352	ENSG00000076356
gp_0353	ENSG00000076356
gp_0354	ENSG00000076356
gp_0355	ENSG00000076356
gp_0356	ENSG00000076356
gp_0357	ENSG00000076356
gp_0358	ENSG00000143061
gp_0359	ENSG00000143061
gp_0360	ENSG00000114948
gp_0362	ENSG00000163539
gp_0363	ENSG00000146729
gp_0364	ENSG00000138623
gp_0365	ENSG00000138623
gp_0366	ENSG00000138623
gp_0367	ENSG00000138623
gp_0368	ENSG00000138623
gp_0369	ENSG00000138623
gp_0370	ENSG00000138623
gp_0371	ENSG00000138623
gp_0373	ENSG00000168032
gp_0374	ENSG00000168032
gp_0375	ENSG00000168032
gp_0376	ENSG00000168032
gp_0377	ENSG00000168032
gp_0378	ENSG00000168032
gp_0379	ENSG00000062485
gp_0380	ENSG00000062485
gp_0381	ENSG00000062485
gp_0382	ENSG00000107566
gp_0383	ENSG00000107566
gp_0384	ENSG00000107566
gp_0385	ENSG00000107566
gp_0386	ENSG00000107566
gp_0387	ENSG00000107566
gp_0388	ENSG00000063180
gp_0389	ENSG00000063180
gp_0390	ENSG00000063180
gp_0391	ENSG00000063180
gp_0392	ENSG00000063180
gp_0393	ENSG00000063180
gp_0394	ENSG00000063180
gp_0395	ENSG00000013297
gp_0396	ENSG00000013297
gp_0397	ENSG00000013297
gp_0411	ENSG00000115840
gp_0412	ENSG00000115840
gp_0413	ENSG00000115840
gp_0414	ENSG00000115840
gp_0415	ENSG00000115840
gp_0416	ENSG00000115840
gp_0417	ENSG00000115840
gp_0418	ENSG00000115840
gp_0419	ENSG00000115840
gp_0420	ENSG00000088812
gp_0421	ENSG00000088812
gp_0422	ENSG00000088812
gp_0423	ENSG00000088812
gp_0424	ENSG00000088812
gp_0425	ENSG00000088812
gp_0426	ENSG00000088812
gp_0427	ENSG00000088812
gp_0428	ENSG00000088812
gp_0429	ENSG00000088812
gp_0430	ENSG00000088812
gp_0431	ENSG00000088812
gp_0432	ENSG00000088812
gp_0433	ENSG00000088812
gp_0434	ENSG00000088812
gp_0435	ENSG00000144908
gp_0436	ENSG00000144908
gp_0437	ENSG00000136928
gp_0438	ENSG00000136928
gp_0439	ENSG00000136928
gp_0440	ENSG00000136928
gp_0441	ENSG00000136928
gp_0442	ENSG00000136928
gp_0443	ENSG00000136928
gp_0444	ENSG00000136928
gp_0445	ENSG00000136928
gp_0446	ENSG00000136928
gp_0447	ENSG00000136928
gp_0448	ENSG00000136928
gp_0449	ENSG00000136928
gp_0450	ENSG00000136928
gp_0451	ENSG00000136928
gp_0452	ENSG00000136928
gp_0453	ENSG00000136928
gp_0454	ENSG00000136928
gp_0455	ENSG00000136928
gp_0456	ENSG00000136928
gp_0457	ENSG00000136928
gp_0458	ENSG00000136928
gp_0459	ENSG00000136928
gp_0460	ENSG00000136928
gp_0461	ENSG00000136928
gp_0462	ENSG00000077264
gp_0463	ENSG00000167863
gp_0464	ENSG00000167863
gp_0465	ENSG00000137312
gp_0466	ENSG00000137312
gp_0467	ENSG00000167283
gp_0468	ENSG00000108582
gp_0469	ENSG00000108582
